id,title,description,availability,condition,price,link,image_link,brand,product_type
ketl-webinar-0,Free Parent Webinar — Meet KETL,"30-minute live webinar for parents. Learn why unplugged-before-code matters, the full KETL pathway, and get a live taste of the method. No cost, no obligation.",in stock,new,0.00 AUD,https://ketl.au/#webinar,https://ketl.au/catalog/au-0-free-webinar.png,KETL,Education > Webinar
ketl-unplugged-single-1,Unplugged AI — Single Session,"45-minute mostly screen-free session for ages 8-12, ending with a first live block-coding touch. Small group, introductory pricing.",in stock,new,39.00 AUD,https://ketl.au/#unplugged-session,https://ketl.au/catalog/au-1-unplugged-single-session.png,KETL,Education > Workshop
ketl-holiday-sprint-2,Holiday AI Sprint — 8 Sessions,"Block-coding and AI concepts for ages 9-12, small live-online cohort capped at 6 students.",in stock,new,260.00 AUD,https://ketl.au/#holiday-sprint,https://ketl.au/catalog/au-2-holiday-sprint.png,KETL,Education > Course
ketl-coding-club-3,Coding Club — Weekly Ongoing,"Ongoing Scratch to systems-thinking pathway, 1 hour per week. $35-$50 per session.",in stock,new,35.00 AUD,https://ketl.au/#coding-club,https://ketl.au/catalog/au-3-coding-club-weekly.png,KETL,Education > Membership
ketl-1on1-4,1:1 / Small Group Sessions,Individual pacing sessions for families wanting personalised attention before joining a cohort. Enquire for pricing.,in stock,new,0.00 AUD,https://ketl.au/#one-to-one,https://ketl.au/catalog/au-4-1on1-sessions.png,KETL,Education > Tutoring
